DATE,FEDFUNDS
2006-01-01,4.68
2006-07-01,5.25
2007-01-01,5.25
2007-07-01,4.79
2008-01-01,2.63
2008-07-01,1.22
2009-01-01,0.18
2009-07-01,0.14
2010-01-01,0.16
2010-07-01,0.19
2011-01-01,0.13
2011-07-01,0.08
2012-01-01,0.13
2012-07-01,0.15
2013-01-01,0.13
2013-07-01,0.09
2014-01-01,0.08
2014-07-01,0.10
2015-01-01,0.12
2015-07-01,0.15
2016-01-01,0.37
2016-07-01,0.42
