DATE,FEDFUNDS
2005-01-01,3.21
2006-01-01,4.96
2007-01-01,5.02
2008-01-01,1.93
2009-01-01,0.16
2010-01-01,0.18
2011-01-01,0.10
2012-01-01,0.14
2013-01-01,0.11
2014-01-01,0.09
2015-01-01,0.13
2016-01-01,0.40
