Date,CSI300,S&P500
9/6/07,5412.04,1457.640015
9/7/07,5294.79,1473.98999
9/10/07,5377.22,1489.420044
9/11/07,5124.09,1472.290039
9/12/07,5202.86,1478.550049
9/13/07,5349.97,1453.550049
9/14/07,5397.28,1451.699951
9/17/07,5498.91,1471.48999
9/18/07,5476.84,1471.560059
9/19/07,5419.27,1483.949951
9/20/07,5494.92,1484.25
9/21/07,5468.1,1476.650024
9/24/07,5513.9,1519.780029
9/25/07,5454.62,1529.030029
9/26/07,5361.02,1518.75
9/27/07,5427.66,1525.75
9/28/07,5580.81,1517.72998
10/1/07,5580.81,1517.209961
10/2/07,5580.81,1525.420044
10/3/07,5580.81,1531.380005
10/4/07,5580.81,1526.75
10/5/07,5580.81,1547.040039
10/8/07,5653.14,1546.630005
10/9/07,5675.93,1539.589966
10/10/07,5685.76,1542.839966
10/11/07,5760.08,1557.589966
10/12/07,5737.22,1552.579956
10/15/07,5821.45,1565.150024
10/16/07,5877.2,1562.469971
10/17/07,5824.12,1554.410034
10/18/07,5615.75,1561.800049
10/19/07,5614.06,1548.709961
10/22/07,5472.68,1538.530029
10/23/07,5540.09,1541.23999
10/24/07,5588.01,1540.079956
10/25/07,5333.79,1500.630005
10/26/07,5394.81,1506.329956
10/29/07,5508.36,1519.589966
10/30/07,5596.07,1515.880005
10/31/07,5688.54,1514.400024
11/1/07,5605.23,1535.280029
11/2/07,5472.93,1540.97998
11/5/07,5360.31,1531.02002
11/6/07,5317.55,1549.380005
11/7/07,5350.63,1508.439941
11/8/07,5093.67,1509.650024
11/9/07,5040.52,1502.170044
11/12/07,4978.25,1520.27002
11/13/07,4939.24,1475.619995
11/14/07,5145.89,1474.77002
11/15/07,5081.11,1453.699951
11/16/07,5007.66,1439.180054
11/19/07,4994.42,1481.050049
11/20/07,5069.38,1470.579956
11/21/07,4997.62,1451.150024
11/22/07,4772.62,1458.73999
11/23/07,4856.16,1433.27002
11/26/07,4800.08,1439.699951
11/27/07,4711.15,1416.77002
11/28/07,4648.75,1440.699951
11/29/07,4842.07,1407.219971
11/30/07,4737.41,1428.22998
12/3/07,4772.67,1469.02002
12/4/07,4829.21,1469.719971
12/5/07,4965.95,1481.140015
12/6/07,4971.06,1472.420044
12/7/07,5041.35,1462.790039
12/10/07,5133.56,1485.01001
12/11/07,5140,1507.339966
12/12/07,5077.39,1504.660034
12/13/07,4884.3,1515.959961
12/14/07,4977.65,1477.650024
12/17/07,4857.29,1486.589966
12/18/07,4829.91,1488.410034
12/19/07,4946.29,1467.949951
12/20/07,5037.19,1445.900024
12/21/07,5101.85,1454.97998
12/24/07,5207.13,1453
12/25/07,5216.81,1460.119995
12/26/07,5265.03,1484.459961
12/27/07,5367.53,1496.449951
12/28/07,5338.27,1497.660034
12/31/07,5338.27,1476.27002
1/1/08,5338.27,1478.48999
1/2/08,5385.1,1468.359985
1/3/08,5422.03,1447.160034
1/4/08,5483.65,1447.160034
1/7/08,5556.59,1411.630005
1/8/08,5528.05,1416.180054
1/9/08,5613.76,1390.189941
1/10/08,5672.15,1409.130005
1/11/08,5699.15,1420.329956
1/14/08,5731.76,1401.02002
